Plasmid_name_filename,Plasmid,ENT_ID,Deidentified_ENT_ID,Hospital,Date_of_culture,Lab_Species,Genomic_Species_Illumina,Genomic_Species_Hybrid,ST_Illumina,ST_Hybrid,CP_Gene,Clonal_cluster,Length,Inc_group_MOBtyper,Inc_group_regrouped,Relaxase_type_corrected,Sample_type,Plasmid_Clusters,PID,Plasmid_Clusters_renamed,Final_Species,Final_ST
rbatch3_24092020_ENT1939_Ctg3_len_91642_depth_2.54x_circ_blaNDM-1.fasta,rbatch3_24092020_ENT1939_Ctg3_len_91642_depth_2.54x_circ_blaNDM-1,ENT1939,E952,1,24/03/2015,Enterobacter cloacae complex,Enterobacter cloacae,ecloacae,114,114,blaNDM1,NA,91642,"IncL/M,rep_cluster_1254",IncL/M,MOBP,Surveillance culture,5,1070,PC5,Enterobacter cloacae,114
batch5_29052019_ENT432_Ctg4_len_177860_depth_1.64x_circ_blaNDM-1.fasta,batch5_29052019_ENT432_Ctg4_len_177860_depth_1.64x_circ_blaNDM-1,ENT432,E1012,5,13/04/2013,Citrobacter freundii,Citrobacter freundii,cfreundii,22,22,blaNDM1,NA,177860,IncFIB,IncF,MOBF,Surveillance culture,15,1116,PC24,Citrobacter freundii,22
batch1_08032019_ENT1001_Ctg7_len_45284_depth_1.97x_circ_blaNDM-1.fasta,batch1_08032019_ENT1001_Ctg7_len_45284_depth_1.97x_circ_blaNDM-1,ENT1001,E3,6,10/02/2014,Citrobacter freundii,Citrobacter freundii,cfreundii,22,22,blaNDM1,NA,45284,IncN,IncN,MOBF,Clinical culture,6,4,PC2,Citrobacter freundii,22
batch15_11092019_ENT1720A_Ctg7_len_43929_depth_3.65x_circ_blaNDM-1.fasta,batch15_11092019_ENT1720A_Ctg7_len_43929_depth_3.65x_circ_blaNDM-1,ENT1720A,E793,6,08/12/2014,Citrobacter freundii,Citrobacter freundii,cfreundii,20,20,blaNDM1,NA,43929,IncN,IncN,MOBF,Surveillance culture,6,935,PC2,Citrobacter freundii,20
batch31_26032020_ENT1661_Ctg3_len_72947_depth_0.87x_circ_blaKPC-2.fasta,batch31_26032020_ENT1661_Ctg3_len_72947_depth_0.87x_circ_blaKPC-2,ENT1661,E1015,2,12/11/2014,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,48,48,blaKPC2,NA,72947,IncU,IncU,MOBP,Clinical culture,2,1120,PC1,Klebsiella pneumoniae,48
batch23_01112019_ENT1717_Ctg5_len_11902_depth_22.32x_circ_blaOXA-232.fasta,batch23_01112019_ENT1717_Ctg5_len_11902_depth_22.32x_circ_blaOXA-232,ENT1717,E1017,3,08/12/2014,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,231,231,blaOXA232,NA,11902,rep_cluster_1195,rep_cluster_1195,MOBP,Surveillance culture,26,1121,PC9,Klebsiella pneumoniae,231
batch15_11092019_ENT1833_Ctg8_len_42517_depth_2.88x_circ_blaNDM-1.fasta,batch15_11092019_ENT1833_Ctg8_len_42517_depth_2.88x_circ_blaNDM-1,ENT1833,E1036,6,02/02/2015,Escherichia coli,Escherichia coli,ecoli,-,-,blaNDM1,NA,42517,IncN,IncN,MOBF,Surveillance culture,6,1131,PC2,Escherichia coli,-
batch10_05072019_ENT894_Ctg5_len_42510_depth_3.80x_circ_blaNDM-1.fasta,batch10_05072019_ENT894_Ctg5_len_42510_depth_3.80x_circ_blaNDM-1,ENT894,E892,4,13/12/2013,Enterobacter cloacae complex,Enterobacter cloacae,ecloacae,407,407,blaNDM1,NA,42510,IncN,IncN,MOBF,Clinical culture,6,1016,PC2,Enterobacter cloacae,407
batch28_20022020_ENT1083_Ctg2_len_139150_depth_0.59x_circ_blaKPC-2.fasta,batch28_20022020_ENT1083_Ctg2_len_139150_depth_0.59x_circ_blaKPC-2,ENT1083,E102,5,01/04/2014,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,281,281,blaKPC2,NA,139150,"IncFIA,IncFII,IncFII,IncU,rep_cluster_1418",IncF_IncU,MOBF,Clinical culture,Singleton,69,Unclustered,Klebsiella pneumoniae,281
batch25_23012020_ENT393_Ctg2_len_144711_depth_1.59x_circ_blaKPC-2.fasta,batch25_23012020_ENT393_Ctg2_len_144711_depth_1.59x_circ_blaKPC-2,ENT393,E1020,5,11/03/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,841,841,blaKPC2,NA,144711,"IncFII,IncU,rep_cluster_1418",IncF_IncU,MOBF,Surveillance culture,Singleton,1124,Unclustered,Klebsiella pneumoniae,841
batch18_02102019_ENT394_Ctg3_len_87275_depth_4.54x_circ_blaKPC-2.fasta,batch18_02102019_ENT394_Ctg3_len_87275_depth_4.54x_circ_blaKPC-2,ENT394,E1021,5,11/03/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,841,841,blaKPC2,NA,87275,IncU,IncU,MOBP,Surveillance culture,32,1124,PC6,Klebsiella pneumoniae,841
batch27_13022020_ENT737_Ctg3_len_71861_depth_1.30x_circ_blaKPC-2.fasta,batch27_13022020_ENT737_Ctg3_len_71861_depth_1.30x_circ_blaKPC-2,ENT737,E1022,5,29/10/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,231,231,blaKPC2,NA,71861,IncU,IncU,MOBP,Surveillance culture,2,1125,PC1,Klebsiella pneumoniae,231
batch27_13022020_ENT811_Ctg3_len_71861_depth_1.15x_circ_blaKPC-2.fasta,batch27_13022020_ENT811_Ctg3_len_71861_depth_1.15x_circ_blaKPC-2,ENT811,E1023,5,23/11/2013,Escherichia coli,Escherichia coli,ecoli,410,410,blaKPC2,NA,71861,IncU,IncU,MOBP,Surveillance culture,2,1125,PC1,Escherichia coli,410
batch27_13022020_ENT735_Ctg4_len_71861_depth_3.57x_circ_blaKPC-2.fasta,batch27_13022020_ENT735_Ctg4_len_71861_depth_3.57x_circ_blaKPC-2,ENT735,E1025,5,29/10/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,17,17,blaKPC2,NA,71861,IncU,IncU,MOBP,Surveillance culture,2,1127,PC1,Klebsiella pneumoniae,17
batch27_13022020_ENT736_Ctg2_len_71861_depth_1.02x_circ_blaKPC-2.fasta,batch27_13022020_ENT736_Ctg2_len_71861_depth_1.02x_circ_blaKPC-2,ENT736,E1026,5,29/10/2013,Escherichia coli,Escherichia coli,ecoli,2797,2797,blaKPC2,NA,71861,IncU,IncU,MOBP,Surveillance culture,2,1127,PC1,Escherichia coli,2797
batch20_11102019_ENT770_Ctg3_len_71861_depth_3.04x_circ_blaKPC-2.fasta,batch20_11102019_ENT770_Ctg3_len_71861_depth_3.04x_circ_blaKPC-2,ENT770,E1027,5,06/11/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,17,17,blaKPC2,NA,71861,IncU,IncU,MOBP,Surveillance culture,2,1127,PC1,Klebsiella pneumoniae,17
batch20_11102019_ENT771_Ctg2_len_71861_depth_2.51x_circ_blaKPC-2.fasta,batch20_11102019_ENT771_Ctg2_len_71861_depth_2.51x_circ_blaKPC-2,ENT771,E1028,5,06/11/2013,Escherichia coli,Escherichia coli,ecoli,2797,2797,blaKPC2,NA,71861,IncU,IncU,MOBP,Surveillance culture,2,1127,PC1,Escherichia coli,2797
batch20_11102019_ENT783_Ctg3_len_71861_depth_2.99x_circ_blaKPC-2.fasta,batch20_11102019_ENT783_Ctg3_len_71861_depth_2.99x_circ_blaKPC-2,ENT783,E1029,5,11/11/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,17,17,blaKPC2,NA,71861,IncU,IncU,MOBP,Surveillance culture,2,1127,PC1,Klebsiella pneumoniae,17
batch20_11102019_ENT784_Ctg2_len_71861_depth_2.89x_circ_blaKPC-2.fasta,batch20_11102019_ENT784_Ctg2_len_71861_depth_2.89x_circ_blaKPC-2,ENT784,E1030,5,11/11/2013,Escherichia coli,Escherichia coli,ecoli,2797,2797,blaKPC2,NA,71861,IncU,IncU,MOBP,Surveillance culture,2,1127,PC1,Escherichia coli,2797
batch31_26032020_ENT1542_Ctg4_len_72946_depth_0.46x_circ_blaKPC-2.fasta,batch31_26032020_ENT1542_Ctg4_len_72946_depth_0.46x_circ_blaKPC-2,ENT1542,E1031,5,25/09/2014,Escherichia coli,Escherichia coli,ecoli,405,405,blaKPC2,NA,72946,IncU,IncU,MOBP,Surveillance culture,2,1128,PC1,Escherichia coli,405
batch31_26032020_ENT1543_Ctg4_len_72146_depth_1.11x_circ_blaKPC-2.fasta,batch31_26032020_ENT1543_Ctg4_len_72146_depth_1.11x_circ_blaKPC-2,ENT1543,E1032,5,25/09/2014,Enterobacter cloacae complex,Enterobacter cloacae,ecloacae,523,523,blaKPC2,NA,72146,IncU,IncU,MOBP,Surveillance culture,2,1128,PC1,Enterobacter cloacae,523
batch28_20022020_ENT908_Ctg3_len_71861_depth_1.78x_circ_blaKPC-2.fasta,batch28_20022020_ENT908_Ctg3_len_71861_depth_1.78x_circ_blaKPC-2,ENT908,E1034,5,31/12/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,742,742,blaKPC2,NA,71861,IncU,IncU,MOBP,Clinical culture,2,1130,PC1,Klebsiella pneumoniae,742
batch20_11102019_ENT903_Ctg3_len_71861_depth_2.39x_circ_blaKPC-2.fasta,batch20_11102019_ENT903_Ctg3_len_71861_depth_2.39x_circ_blaKPC-2,ENT903,E1035,5,02/01/2014,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,742,742,blaKPC2,NA,71861,IncU,IncU,MOBP,Clinical culture,2,1130,PC1,Klebsiella pneumoniae,742
batch10_05072019_ENT1076_Ctg5_len_42508_depth_2.95x_circ_blaNDM-1.fasta,batch10_05072019_ENT1076_Ctg5_len_42508_depth_2.95x_circ_blaNDM-1,ENT1076,E911,5,27/03/2014,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,231,231,blaNDM1,Cluster_15,42508,IncN,IncN,MOBF,Surveillance culture,6,1032,PC2,Klebsiella pneumoniae,231
batch13_31072019_ENT1573_Ctg6_len_42442_depth_2.04x_circ_blaNDM-1.fasta,batch13_31072019_ENT1573_Ctg6_len_42442_depth_2.04x_circ_blaNDM-1,ENT1573,E178,5,07/10/2014,Citrobacter freundii,Citrobacter freundii,cfreundii,22,22,blaNDM1,NA,42442,IncN,IncN,MOBF,Clinical culture,6,140,PC2,Citrobacter freundii,22
batch7_26062019_ENT755_Ctg4_len_87739_depth_2.25x_circ_blaNDM-4.fasta,batch7_26062019_ENT755_Ctg4_len_87739_depth_2.25x_circ_blaNDM-4,ENT755,E1038,5,30/10/2013,Escherichia coli,Escherichia coli,ecoli,2083,2083,blaNDM4,NA,87739,"IncFII,IncFIIA",IncF,MOBF,Surveillance culture,Singleton,1133,Unclustered,Escherichia coli,2083
batch11_10072019_ENT1112_Ctg3_len_50752_depth_4.07x_circ_blaNDM-1.fasta,batch11_10072019_ENT1112_Ctg3_len_50752_depth_4.07x_circ_blaNDM-1,ENT1112,E104,5,14/04/2014,Enterobacter cloacae complex,Enterobacter cloacae,ecloacae,125,125,blaNDM1,NA,50752,IncN,IncN,MOBF,Surveillance culture,17,72,PC23,Enterobacter cloacae,125
batch2_21032019_ENT454_Ctg5_len_42336_depth_2.31x_circ_blaNDM-1.fasta,batch2_21032019_ENT454_Ctg5_len_42336_depth_2.31x_circ_blaNDM-1,ENT454,E372,6,26/04/2013,Citrobacter freundii,Citrobacter freundii,cfreundii,-,-,blaNDM1,NA,42336,IncN,IncN,MOBF,Surveillance culture,6,597,PC2,Citrobacter freundii,-
batch7_26062019_ENT742_Ctg3_len_49993_depth_1.11x_circ_blaNDM-1.fasta,batch7_26062019_ENT742_Ctg3_len_49993_depth_1.11x_circ_blaNDM-1,ENT742,E1041,5,25/10/2013,Citrobacter freundii,Citrobacter freundii,cfreundii,22,22,blaNDM1,Cluster_24,49993,IncN,IncN,MOBF,Surveillance culture,17,1136,PC23,Citrobacter freundii,22
rbatch1_15072020_ENT1673_Ctg3_len_42104_depth_3.37x_circ_blaNDM-1.fasta,rbatch1_15072020_ENT1673_Ctg3_len_42104_depth_3.37x_circ_blaNDM-1,ENT1673,E721,5,16/11/2014,Enterobacter cloacae complex,Enterobacter cloacae,ecloacae,66,66,blaNDM1,NA,42104,IncN,IncN,MOBF,Surveillance culture,6,878,PC2,Enterobacter cloacae,66
batch7_26062019_ENT760_Ctg3_len_46161_depth_1.39x_circ_blaNDM-7.fasta,batch7_26062019_ENT760_Ctg3_len_46161_depth_1.39x_circ_blaNDM-7,ENT760,E1043,5,01/11/2013,Enterobacter cloacae complex,Enterobacter cloacae,ecloacae,171,171,blaNDM7,NA,46161,IncX3,IncX3,MOBP,Surveillance culture,9,1137,PC8,Enterobacter cloacae,171
batch5_29052019_ENT1693_Ctg11_len_46161_depth_1.16x_circ_blaNDM-7.fasta,batch5_29052019_ENT1693_Ctg11_len_46161_depth_1.16x_circ_blaNDM-7,ENT1693,E1044,3,29/11/2014,Escherichia coli,Escherichia coli,ecoli,448,448,blaNDM7,NA,46161,IncX3,IncX3,MOBP,Clinical culture,9,1139,PC8,Escherichia coli,448
batch26_31012020_ENT532_Ctg3_len_73061_depth_1.27x_circ_blaKPC-2.fasta,batch26_31012020_ENT532_Ctg3_len_73061_depth_1.27x_circ_blaKPC-2,ENT532,E1046,5,17/07/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,11,11,blaKPC2,NA,73061,IncU,IncU,MOBP,Clinical culture,2,1140,PC1,Klebsiella pneumoniae,11
batch23_01112019_ENT1804_Ctg3_len_69945_depth_0.65x_circ_blaOXA-48.fasta,batch23_01112019_ENT1804_Ctg3_len_69945_depth_0.65x_circ_blaOXA-48,ENT1804,E184,5,19/01/2015,Escherichia coli,Escherichia coli,ecoli,1286,1286,blaOXA48,NA,69945,IncL/M,IncL/M,MOBP,Clinical culture,19,140,PC4,Escherichia coli,1286
batch13_31072019_ENT1506_Ctg3_len_41936_depth_2.02x_circ_blaNDM-1.fasta,batch13_31072019_ENT1506_Ctg3_len_41936_depth_2.02x_circ_blaNDM-1,ENT1506,E719,5,14/09/2014,Enterobacter cloacae complex,Enterobacter cloacae,ecloacae,66,66,blaNDM1,NA,41936,IncN,IncN,MOBF,Surveillance culture,6,878,PC2,Enterobacter cloacae,66
batch9_02072019_ENT1232_Ctg4_len_71861_depth_1.46x_circ_blaKPC-2.fasta,batch9_02072019_ENT1232_Ctg4_len_71861_depth_1.46x_circ_blaKPC-2,ENT1232,E1049,5,11/06/2014,Enterobacter cloacae complex,Enterobacter cloacae,ecloacae,93,93,blaKPC2,Cluster_06,71861,IncU,IncU,MOBP,Clinical culture,2,1144,PC1,Enterobacter cloacae,93
rbatch5_09102020_ENT217_Ctg4_len_41435_depth_2.21x_circ_blaNDM-1.fasta,rbatch5_09102020_ENT217_Ctg4_len_41435_depth_2.21x_circ_blaNDM-1,ENT217,E490,6,22/11/2011,Enterobacter cloacae,Enterobacter cloacae,ecloacae,592,592,blaNDM1,NA,41435,IncN,IncN,MOBF,Surveillance culture,6,695,PC2,Enterobacter cloacae,592
batch25_23012020_ENT1990_Ctg3_len_71871_depth_0.60x_circ_blaKPC-2.fasta,batch25_23012020_ENT1990_Ctg3_len_71871_depth_0.60x_circ_blaKPC-2,ENT1990,E1050,5,14/04/2015,Escherichia coli,Escherichia coli,ecoli,10,10,blaKPC2,NA,71871,IncU,IncU,MOBP,Surveillance culture,2,1145,PC1,Escherichia coli,10
batch25_23012020_ENT1991_Ctg4_len_72168_depth_0.71x_circ_blaKPC-2.fasta,batch25_23012020_ENT1991_Ctg4_len_72168_depth_0.71x_circ_blaKPC-2,ENT1991,E1051,5,14/04/2015,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,16,16,blaKPC2,NA,72168,IncU,IncU,MOBP,Surveillance culture,2,1145,PC1,Klebsiella pneumoniae,16
batch8_28062019_ENT821_Ctg4_len_127481_depth_2.03x_circ_blaNDM-1.fasta,batch8_28062019_ENT821_Ctg4_len_127481_depth_2.03x_circ_blaNDM-1,ENT821,E1052,1,03/12/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,1998,1998,blaNDM1,Cluster_27,127481,IncA/C2,IncA/C2,"MOBH,MOBH",Surveillance culture,8,1146,PC7,Klebsiella pneumoniae,1998
batch26_31012020_ENT591_Ctg4_len_87273_depth_3.93x_circ_blaKPC-2.fasta,batch26_31012020_ENT591_Ctg4_len_87273_depth_3.93x_circ_blaKPC-2,ENT591,E1053,5,16/08/2013,Escherichia coli,Escherichia coli,ecoli,-,7506,blaKPC2,Cluster_12,87273,IncU,IncU,MOBP,Surveillance culture,32,1147,PC6,Escherichia coli,#REF!
batch5_29052019_ENT425_Ctg6_len_41277_depth_4.48x_circ_blaNDM-1.fasta,batch5_29052019_ENT425_Ctg6_len_41277_depth_4.48x_circ_blaNDM-1,ENT425,E468,5,07/04/2013,Klebsiella oxytoca,Klebsiella oxytoca,koxytoca,108,108,blaNDM1,NA,41277,IncN,IncN,MOBF,Clinical culture,6,679,PC2,Klebsiella oxytoca,108
batch22_18102019_ENT1579_Ctg4_len_75234_depth_1.20x_circ_blaKPC-2.fasta,batch22_18102019_ENT1579_Ctg4_len_75234_depth_1.20x_circ_blaKPC-2,ENT1579,E1056,5,14/10/2014,Enterobacter cloacae complex,Enterobacter cloacae,ecloacae,850,850,blaKPC2,NA,75234,"ColRNAI_rep_cluster_1987,IncU",ColRNAI_all,MOBP,Surveillance culture,2,1150,PC1,Enterobacter cloacae,850
batch31_26032020_ENT1623_Ctg4_len_7580_depth_1.61x_circ_blaKPC-2.fasta,batch31_26032020_ENT1623_Ctg4_len_7580_depth_1.61x_circ_blaKPC-2,ENT1623,E1057,5,28/10/2014,Enterobacter cloacae complex,Enterobacter cloacae,ecloacae,850,850,blaKPC2,NA,7580,IncU,IncU,-,Clinical culture,1,1150,PC16,Enterobacter cloacae,850
batch12_27072019_ENT1463_Ctg4_len_41270_depth_3.95x_circ_blaNDM-1.fasta,batch12_27072019_ENT1463_Ctg4_len_41270_depth_3.95x_circ_blaNDM-1,ENT1463,E1114,6,27/08/2014,Enterobacter aerogenes,Enterobacter aerogenes,kaerogenes,-,-,blaNDM1,NA,41270,IncN,IncN,MOBF,Surveillance culture,6,1196,PC2,Enterobacter aerogenes,-
batch17_18092019_ENT605_Ctg3_len_176865_depth_0.98x_circ_blaOXA-181.fasta,batch17_18092019_ENT605_Ctg3_len_176865_depth_0.98x_circ_blaOXA-181,ENT605,E572,1,27/08/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,14,14,blaOXA181,Cluster_02,176865,"IncA/C2,rep_cluster_1254",IncA/C2,"MOBH,MOBH",Surveillance culture,16,767,PC3,Klebsiella pneumoniae,14
batch1_08032019_ENT1217_Ctg3_len_135212_depth_1.31x_circ_blaNDM-1.fasta,batch1_08032019_ENT1217_Ctg3_len_135212_depth_1.31x_circ_blaNDM-1,ENT1217,E106,6,30/05/2014,Enterobacter cloacae complex,Enterobacter cloacae,ecloacae,1,1,blaNDM1,Cluster_43,135212,"IncFII,rep_cluster_1418",IncF,MOBP,Surveillance culture,13,74,PC26,Enterobacter cloacae,1
batch24_17012020_ENT1970_Ctg19_len_71861_depth_2.01x_circ_blaKPC-2.fasta,batch24_17012020_ENT1970_Ctg19_len_71861_depth_2.01x_circ_blaKPC-2,ENT1970,E1061,5,08/04/2015,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,20,20,blaKPC2,Cluster_56,71861,IncU,IncU,MOBP,Surveillance culture,2,1154,PC1,Klebsiella pneumoniae,20
batch24_17012020_ENT1971_Ctg4_len_71860_depth_0.38x_circ_blaKPC-2.fasta,batch24_17012020_ENT1971_Ctg4_len_71860_depth_0.38x_circ_blaKPC-2,ENT1971,E1062,5,08/04/2015,Escherichia coli,Escherichia coli,ecoli,162,162,blaKPC2,NA,71860,IncU,IncU,MOBP,Surveillance culture,2,1154,PC1,Escherichia coli,162
batch17_18092019_ENT366_Ctg3_len_176863_depth_0.98x_circ_blaOXA-181.fasta,batch17_18092019_ENT366_Ctg3_len_176863_depth_0.98x_circ_blaOXA-181,ENT366,E587,1,05/02/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,14,14,blaOXA181,Cluster_02,176863,"IncA/C2,rep_cluster_1254",IncA/C2,"MOBH,MOBH",Clinical culture,16,777,PC3,Klebsiella pneumoniae,14
batch7_26062019_ENT746_Ctg2_len_300349_depth_1.25x_circ_blaNDM-1.fasta,batch7_26062019_ENT746_Ctg2_len_300349_depth_1.25x_circ_blaNDM-1,ENT746,E1065,5,27/10/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,14,14,blaNDM1,NA,300349,"IncH,rep_cluster_1150,rep_cluster_1254",IncH,MOBH,Clinical culture,43,1157,PC18,Klebsiella pneumoniae,14
batch7_26062019_ENT746_Ctg4_len_6141_depth_6.39x_circ_blaOXA-232.fasta,batch7_26062019_ENT746_Ctg4_len_6141_depth_6.39x_circ_blaOXA-232,ENT746,E1065,5,27/10/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,14,14,blaOXA232,NA,6141,rep_cluster_1195,rep_cluster_1195,MOBP,Clinical culture,26,1157,PC9,Klebsiella pneumoniae,14
batch12_27072019_ENT1456_Ctg2_len_41265_depth_2.78x_circ_blaNDM-1.fasta,batch12_27072019_ENT1456_Ctg2_len_41265_depth_2.78x_circ_blaNDM-1,ENT1456,E405,3,01/09/2014,Escherichia coli,Escherichia coli,ecoli,131,131,blaNDM1,NA,41265,IncN,IncN,MOBF,Clinical culture,6,627,PC2,Escherichia coli,131
batch4_29032019_ENT1002_Ctg7_len_6141_depth_9.10x_circ_blaOXA-232.fasta,batch4_29032019_ENT1002_Ctg7_len_6141_depth_9.10x_circ_blaOXA-232,ENT1002,E1067,5,13/02/2014,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,231,231,blaOXA232,NA,6141,rep_cluster_1195,rep_cluster_1195,MOBP,Clinical culture,26,1160,PC9,Klebsiella pneumoniae,231
batch2_21032019_ENT497_Ctg10_len_41259_depth_2.09x_circ_blaNDM-1.fasta,batch2_21032019_ENT497_Ctg10_len_41259_depth_2.09x_circ_blaNDM-1,ENT497,E1084,6,13/06/2013,Enterobacter cloacae,Enterobacter cloacae,ecoli,-,131,blaNDM1,NA,41259,IncN,IncN,MOBF,Clinical culture,6,1177,PC2,Enterobacter cloacae,-
batch23_01112019_ENT1794_Ctg4_len_69168_depth_1.52x_circ_blaOXA-48.fasta,batch23_01112019_ENT1794_Ctg4_len_69168_depth_1.52x_circ_blaOXA-48,ENT1794,E182,5,16/01/2015,Citrobacter freundii,Citrobacter freundii,cfreundii,22,22,blaOXA48,NA,69168,IncL/M,IncL/M,MOBP,Clinical culture,19,140,PC4,Citrobacter freundii,22
